Homem-Aranha: Através do Aranhaverso,2023,8.9,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
Asteroid City,2023,7.1,"Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a junior stargazing event, only to have his world view disrupted forever."
Que Horas Eu Te Pego?,2023,6.8,"On the brink of losing her home, Maddie finds an intriguing job listing: helicopter parents looking for someone to bring their introverted 19-year-old son out of his shell before college. She has one summer to make him a man or die trying."
Indiana Jones e a Relíquia do Destino,2023,6.9,Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.
Resgate 2,2023,7.1,"After barely surviving his grievous wounds from his mission in Dhaka, Bangladesh, Tyler Rake is back, and his team is ready to take on their next mission."
The Flash,2023,7.2,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future."
Titanic,1997,7.9,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
Elementos,2023,7.1,"Follows Ember and Wade, in a city where fire-, water-, land- and air-residents live together."
A Morte do Demônio: A Ascensão,2023,6.6,"A twisted tale of two estranged sisters whose reunion is cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable."
O Pacto,2023,7.5,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain."
Avatar: O Caminho da Água,2022,7.6,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home."
Resgate,2020,6.8,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord."
A Pequena Sereia,2023,7.2,A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.
Os Caçadores da Arca Perdida,1981,8.4,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
John Wick 4: Baba Yaga,2023,7.9,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
Transformers: O Despertar das Feras,2023,6.5,"During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth."
Minha Culpa,2023,6.3,"Noah has to leave her town, boyfriend and friends behind and move into the mansion of her mother's new rich husband. There she meets Nick, her new stepbrother. They fall madly in love in secret."
Run Rabbit Run,2023,5.0,"Sarah Snook plays a fertility doctor who believes firmly in life and death, but after noticing the strange behavior of her young daughter, she must challenge her own values and confront a ghost from her past."
O Mistério de Maya,2023,7.9,"As a medical team tries to understand 10-year-old Maya Kowalski's rare illness, they begin to question her parents. Suddenly, Maya is in state custody - despite a family desperate to bring their daughter home."
Velozes e Furiosos 10,2023,5.9,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.
Guardiões da Galáxia Vol. 3,2023,8.2,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
Super Mario Bros. - O Filme,2023,7.1,"A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess."
Sound of Freedom,2022,8.6,The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from sex traffickers.
Dungeons & Dragons: Honra Entre Rebeldes,2023,7.3,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people."
Homem-Aranha: No Aranhaverso,2018,8.4,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
Indiana Jones e o Reino da Caveira de Cristal,2008,6.2,"In 1957, Indiana Jones becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls."
Indiana Jones e a Última Cruzada,1989,8.2,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
X: A Marca da Morte,2022,6.6,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives."
Infinity Pool,2023,6.1,"James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors."
Indiana Jones e o Templo da Perdição,1984,7.5,"In 1935, Indiana Jones is tasked by Indian villagers with reclaiming a rock stolen from them by a secret cult beneath the catacombs of an ancient palace."
Missão de Sobrevivência,2023,6.0,A CIA operative and his translator flee from special forces in Afghanistan after exposing a covert mission.
"Ruby Marinho, Monstro Adolescente",2023,5.9,"A shy adolescent learns that she comes from a fabled royal family of legendary sea krakens and that her destiny lies in the depths of the waters, which is bigger than she could have ever imagined."
The Machine,2023,6.0,Bert's drunken past catches up with him 20 years down the road when he and his father are kidnapped by those Bert wronged 20 years ago while drunk on a college semester abroad in Russia.
Beau Tem Medo,2023,6.9,"Following the sudden death of his mother, a mild-mannered but anxiety-ridden man confronts his darkest fears as he embarks on an epic, Kafkaesque odyssey back home."
Nimona,2023,7.7,"When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy."
Past Lives,2023,8.4,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny."
Através da Minha Janela: Além-mar,2023,5.0,Follows Raquel and Ares as they face challenges in the next chapter of their relationship and their individual lives.
Interestelar,2014,8.7,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
Pulp Fiction - Tempo de Violência,1994,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
A Descoberta Perfeita,2023,5.2,"After a high-profile firing, Jenna's fashion career comeback hits a snag when she falls for a charming, much younger coworker - who happens to be her boss's son. As sparks fly, Jenna must decide if she'll risk it all on a secret romance."
Os Cavaleiros do Zodíaco - Saint Seiya: O Começo,2023,4.4,"When a goddess of war reincarnates in the body of a young girl, street orphan Seiya discovers that he is destined to protect her and save the world. But only if he can face his own past and become a Knight of the Zodiac."
Uma Janela para o Amor,1985,7.2,"Lucy Honeychurch (Helena Bonham-Carter) shares a brief romance with George Emerson in Florence. Yet as she tries to move on with her life and look for marriage elsewhere, can she truly forget the events of that summer?"
Boogeyman: Seu Medo é Real,2023,6.1,"Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it's too late."
"Não Se Preocupe, Querida",2022,6.3,"While her husband leaves home everyday to work in a top secret facility, a young 1950s housewife begins to question her life when she notices strange behavior from the other wives in the neighborhood."
Top Gun: Maverick,2022,8.3,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
Lust Stories 2,2023,7.3,"Four eminent Indian directors explore sex, desire and love through short films in this sequel to 2018's Emmy-nominated ""Lust Stories""."
Air: A História Por Trás do Logo,2023,7.5,"Follows the history of sports marketing executive Sonny Vaccaro, and how he led Nike in its pursuit of the greatest athlete in the history of basketball, Michael Jordan."
Duna,2021,8.0,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
Um Sonho de Liberdade,1994,9.3,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
Nefarious,2023,6.3,"On the day of his scheduled execution, a convicted serial killer gets a psychiatric evaluation during which he claims he is a demon, and further claims that before their time is over, the psychiatrist will commit three murders of his own."
O Pior Vizinho do Mundo,2022,7.5,"Otto is a grump who's given up on life following the loss of his wife and wants to end it all. When a young family moves in nearby, he meets his match in quick-witted Marisol, leading to a friendship that will turn his world around."
Renfield - Dando o Sangue Pelo Chefe,2023,6.4,"Renfield, Dracula's henchman and inmate at the lunatic asylum for decades, longs for a life away from the Count, his various demands, and all of the bloodshed that comes with them."
O Poderoso Chefão,1972,9.2,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger."
Pearl,2022,7.0,"In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation and lovelessness of life on her parents' farm."
Homem-Formiga e a Vespa: Quantumania,2023,6.1,"Scott Lang and Hope Van Dyne are dragged into the Quantum Realm, along with Hope's parents and Scott's daughter Cassie. Together they must find a way to escape, but what secrets is Hope's mother hiding? And who is the mysterious Kang?"
Sobrenatural: A Porta Vermelha,2023,6.1,The Lamberts must go deeper into The Further than ever before to put their demons to rest once and for all.
O Urso do Pó Branco,2023,6.0,"An oddball group of cops, criminals, tourists and teens converge on a Georgia forest where a huge black bear goes on a murderous rampage after unintentionally ingesting cocaine."
